time_s,displacement_m
2.582086221590909059e-01,6.784464242917975535e-05
2.582312926136363651e-01,7.345665439990981286e-05
2.582539630681818243e-01,7.883694794549721979e-05
2.582766477272727124e-01,8.387747458680244370e-05
2.582993181818181716e-01,8.855219854571955357e-05
2.583219886363636308e-01,9.268668010893889287e-05
2.583446732954545189e-01,9.620151015323746683e-05
2.583673437499999781e-01,9.916047633497475226e-05
2.583900284090909216e-01,1.015427500316660043e-04
2.584126988636363809e-01,1.033561419767430159e-04
2.584353693181818401e-01,1.045824271255316353e-04
2.584580539772727281e-01,1.052307180003689247e-04
2.584807244318181874e-01,1.052879967122019594e-04
2.585033948863636466e-01,1.048636135290755277e-04
2.585260795454545346e-01,1.040643151412239196e-04
2.585487499999999939e-01,1.029096283822265699e-04
2.585714346590908819e-01,1.014750570085906379e-04
2.585941051136363411e-01,9.975018670907375112e-05
2.586167755681818003e-01,9.777797651755065517e-05
2.586394602272727439e-01,9.557795326760081184e-05
2.586621306818182031e-01,9.315792769265595979e-05
2.586848011363636624e-01,9.056736777111738150e-05
2.587074857954545504e-01,8.780366992517447033e-05
2.587301562500000096e-01,8.489417172183844030e-05
2.587528409090908976e-01,8.183496779439337464e-05
2.587755113636363569e-01,7.863386887627109333e-05
2.587981818181818161e-01,7.531300537886158352e-05
2.588208664772727041e-01,7.190101665808136934e-05
2.588435369318181634e-01,6.844997427014228573e-05
2.588662073863636226e-01,6.498851757096084326e-05
2.588888920454545661e-01,6.156351096112766357e-05
2.589115625000000254e-01,5.822442241904402237e-05
2.589342471590909134e-01,5.499338235609992038e-05
2.589569176136363726e-01,5.187950329463244701e-05
2.589795880681818319e-01,4.880597968922913962e-05
2.590022727272727199e-01,4.573636145054170833e-05
2.590249431818181791e-01,4.269147720105490474e-05
2.590476136363636384e-01,3.964398937375752160e-05
2.590702982954545264e-01,3.660821764660778031e-05
2.590929687499999856e-01,3.360238706427985292e-05
2.591156534090909291e-01,3.061087615991017405e-05
2.591383238636363884e-01,2.766362607832055758e-05
2.591609943181817921e-01,2.476324039732159663e-05
2.591836789772727356e-01,2.188758870552323627e-05
2.592063494318181949e-01,1.906531035884200402e-05
2.592290198863636541e-01,1.622090160077076427e-05
2.592517045454545421e-01,1.331661055305589503e-05
2.592743750000000014e-01,1.025740662561084632e-05
2.592970454545454606e-01,6.965182484117852163e-06
2.593197301136363486e-01,3.600058163928280365e-06
2.593424005681818079e-01,1.242817867885762575e-07
2.593650852272727514e-01,-3.424394769047687705e-06
2.593877556818181551e-01,-6.979580269410424260e-06
2.594104261363636144e-01,-1.061677847080679695e-05
2.594331107954545579e-01,-1.425658025001377376e-05
2.594557812500000171e-01,-1.792111601842136132e-05
2.594784517045454764e-01,-2.160257504259779896e-05
2.595011363636363644e-01,-2.520983209917237045e-05
2.595238068181818236e-01,-2.877933727749337246e-05
2.595464914772727116e-01,-3.224469934339069781e-05
2.595691619318181709e-01,-3.558639146328494566e-05
2.595918323863636301e-01,-3.883956193761906869e-05
2.596145170454545181e-01,-4.189746407615881746e-05
2.596371874999999774e-01,-4.478873723482072289e-05
2.596598579545454366e-01,-4.744438660162411518e-05
2.596825426136363801e-01,-4.976157085305054647e-05
2.597052130681818394e-01,-5.172206494442597346e-05
2.597278977272727274e-01,-5.312929875105072534e-05
2.597505681818181866e-01,-5.392729534999703009e-05
2.597732386363636459e-01,-5.413558157484434953e-05
2.597959232954545339e-01,-5.377238247026683537e-05
2.598185937499999931e-01,-5.285462129203330212e-05
2.598412642045454524e-01,-5.136407299546967261e-05
2.598639488636363404e-01,-4.934109303664003827e-05
2.598866193181817996e-01,-4.675964563743852906e-05
2.599093039772727431e-01,-4.373819358824704984e-05
2.599319744318182024e-01,-4.038218179039456025e-05
2.599546448863636616e-01,-3.670983528855519169e-05
2.599773295454545496e-01,-3.274849164974016495e-05
2.600000000000000089e-01,-2.842134532853703095e-05
